Pot Combo Street Opp_actions, F C R
4 0 1 0,-63 -71 -126
4 0 2 0,-16 -14 -296
4 0 3 0,-22 -229 -231
4 1 1 0,-63 -91 -103
4 1 2 0,-63 -81 -108
4 1 3 0,-64 -70 -301
4 2 1 0,-70 -43 -69
4 2 2 0,-55 -39 -119
4 2 3 0,-62 -30 -170
4 3 1 0,-56 -26 -143
4 3 2 0,-64 -12 -59
4 3 3 0,-64 -63 -119
4 4 1 0,-70 170 327
4 4 2 0,-31 108 62
4 4 3 0,-67 4 95
4 5 1 0,-70 65 242
4 5 2 0,-67 95 591
4 5 3 0,-47 -33 -88
4 6 1 0,-31 18 172
4 6 2 0,-69 320 -216
4 6 3 0,-47 56 170
4 7 1 0,-39 55 468
4 7 2 0,-69 37 147
4 7 3 0,-31 28 334
4 8 1 0,-8 200 275
4 8 2 0,-53 -43 293
4 8 3 0,-66 31 10
4 9 1 0,0 180 0
4 9 2 0,0 85 54
4 9 3 0,0 180 106
4 10 1 0,0 235 226
6 0 1 0,-10 -178 -40
6 0 1 1,-70 -88 -100
6 1 1 0,-10 -84 23
6 1 1 1,-68 -425 -219
6 2 1 0,-10 -63 9
6 2 1 1,-70 141 -131
6 3 1 0,-10 152 -75
6 3 1 1,-70 189 375
6 4 1 0,-10 391 337
6 4 1 1,-68 407 -28
6 5 1 0,-10 590 308
6 5 1 1,-63 332 13
6 6 1 0,-10 92 299
6 6 1 1,-69 282 90
6 7 1 0,-10 379 534
6 7 1 1,-42 543 203
6 8 1 0,-10 305 450
6 8 1 1,0 212 331
6 9 1 0,0 66 0
8 0 1 0,-65 -67 -90
8 0 1 1,-110 -172 -243
8 0 2 0,-41 -110 -129
8 0 2 1,-98 -87 -213
8 0 3 0,-37 -169 -263
8 1 1 0,-51 -30 -148
8 1 1 1,-110 332 -229
8 1 2 0,-52 -91 -222
8 1 2 1,-110 -221 -246
8 1 3 0,-91 -241 -179
8 2 1 0,-59 -153 -298
8 2 1 1,-98 67 175
8 2 2 0,-106 -165 -293
8 2 2 1,-80 12 202
8 2 3 0,-65 -83 -172
8 3 1 0,-89 -85 171
8 3 1 1,-107 216 63
8 3 2 0,-92 117 -95
8 3 2 1,-109 94 191
8 3 3 0,-59 132 -87
8 4 1 0,-103 230 372
8 4 1 1,-110 436 508
8 4 2 0,-66 335 322
8 4 2 1,-110 116 381
8 4 3 0,-90 -87 263
8 5 1 0,-73 131 -16
8 5 1 1,-98 60 103
8 5 2 0,-108 296 130
8 5 2 1,-110 74 -39
8 5 3 0,-103 80 401
8 6 1 0,-95 449 -115
8 6 1 1,-110 53 325
8 6 2 0,-22 326 428
8 6 2 1,-80 163 156
8 6 3 0,-85 118 32
8 7 1 0,-100 39 514
8 7 1 1,-80 102 -66
8 7 2 0,-101 180 256
8 7 2 1,-93 102 685
8 7 3 0,-104 192 70
8 8 1 0,-56 -13 411
8 8 1 1,-36 321 439
8 8 2 0,-45 170 75
8 8 2 1,-91 172 119
8 8 3 0,-47 102 -94
8 9 1 0,0 0 54
8 9 1 1,-66 0 0
8 9 2 0,-66 231 433
8 9 3 0,0 88 111
8 10 2 0,0 276 204
8 10 3 0,0 200 0
10 0 1 0,-50 -79 -164
10 0 1 1,-56 -185 -205
10 1 1 0,-50 -219 -62
10 1 1 1,-58 265 89
10 2 1 0,-50 119 -321
10 2 1 1,-102 -118 -169
10 3 1 0,-50 -127 -148
10 3 1 1,-94 53 255
10 4 1 0,-50 321 459
10 4 1 1,-110 95 529
10 5 1 0,-50 520 126
10 5 1 1,-71 43 450
10 6 1 0,-50 283 373
10 6 1 1,-74 530 163
10 7 1 0,-49 98 370
10 7 1 1,-73 245 36
10 8 1 0,0 139 209
10 8 1 1,-66 104 149
12 0 1 0,-90 -108 -120
12 0 1 1,-149 -261 -252
12 0 2 0,-138 -178 -262
12 0 2 1,-112 -259 -247
12 0 3 0,-150 140 -199
12 0 3 1,-149 -6 -268
12 1 1 0,-90 9 -139
12 1 1 1,-150 -147 -197
12 1 2 0,-90 -160 -232
12 1 2 1,-78 1 86
12 1 3 0,-105 -131 -177
12 1 3 1,-123 -178 -244
12 2 1 0,-90 -185 -124
12 2 1 1,-150 -242 349
12 2 2 0,-149 -152 -15
12 2 2 1,-117 -132 -53
12 2 3 0,-75 -135 -127
12 2 3 1,-149 -184 314
12 3 1 0,-90 420 -11
12 3 1 1,-150 417 180
12 3 2 0,-108 66 -191
12 3 2 1,-149 133 -200
12 3 3 0,-130 176 86
12 3 3 1,-148 35 150
12 4 1 0,-90 371 240
12 4 1 1,-145 -18 174
12 4 2 0,-127 8 143
12 4 2 1,-145 91 160
12 4 3 0,-118 161 44
12 4 3 1,-113 -77 23
12 5 1 0,-90 14 330
12 5 1 1,-150 206 -126
12 5 2 0,-143 392 41
12 5 2 1,-126 105 531
12 5 3 0,-120 156 79
12 5 3 1,-120 54 365
12 6 1 0,-90 210 150
12 6 1 1,-150 264 -23
12 6 2 0,-113 323 266
12 6 2 1,-120 105 534
12 6 3 0,-82 5 -6
12 6 3 1,-144 34 456
12 7 1 0,-90 382 481
12 7 1 1,-149 212 251
12 7 2 0,-87 127 496
12 7 2 1,-114 251 577
12 7 3 0,-130 149 400
12 7 3 1,-110 -4 262
12 8 1 0,-76 309 483
12 8 1 1,-60 160 158
12 8 2 0,-149 184 538
12 8 2 1,-58 89 367
12 8 3 0,-112 141 75
12 8 3 1,0 43 22
12 9 2 0,-54 212 -67
12 9 2 1,0 114 283
12 9 3 0,0 162 322
12 9 3 1,0 0 195
12 10 2 1,0 186 0
12 10 3 0,0 0 174
14 0 1 0,-90 -162 -288
14 0 1 1,-126 -83 -59
14 1 1 0,-90 -120 -246
14 1 1 1,-147 -139 -196
14 2 1 0,-90 -167 -158
14 2 1 1,-99 197 -188
14 3 1 0,-90 528 11
14 3 1 1,-133 148 350
14 4 1 0,-90 -60 300
14 4 1 1,-105 119 460
14 5 1 0,-76 219 617
14 5 1 1,-103 123 -49
14 6 1 0,-76 501 -37
14 6 1 1,-134 -33 118
14 7 1 0,-54 525 138
14 7 1 1,-113 284 313
14 8 1 0,0 245 0
14 8 1 1,-76 -38 -143
14 9 1 1,0 249 0
16 0 1 0,-130 165 -201
16 0 1 1,-190 -202 -259
16 0 2 0,-106 241 -476
16 0 2 1,-163 -205 -295
16 0 3 0,-94 -194 -395
16 0 3 1,-180 116 -326
16 1 1 0,-130 -194 -217
16 1 1 1,-188 -224 -249
16 1 2 0,-92 -232 -357
16 1 2 1,-186 -245 -341
16 1 3 0,-97 -155 -282
16 1 3 1,-169 -194 -305
16 2 1 0,-130 371 -342
16 2 1 1,-190 40 -154
16 2 2 0,-123 -209 -290
16 2 2 1,-144 -97 -93
16 2 3 0,-175 11 -143
16 2 3 1,-155 -52 -370
16 3 1 0,-130 415 -23
16 3 1 1,-189 -289 -252
16 3 2 0,-179 -245 338
16 3 2 1,-177 8 349
16 3 3 0,-163 243 -78
16 3 3 1,-186 161 -21
16 4 1 0,-130 85 522
16 4 1 1,-181 232 -200
16 4 2 0,-146 38 470
16 4 2 1,-184 -190 306
16 4 3 0,-153 184 86
16 4 3 1,-188 351 -13
16 5 1 0,-122 601 318
16 5 1 1,-142 729 -100
16 5 2 0,-159 428 -44
16 5 2 1,-160 394 746
16 5 3 0,-180 137 255
16 5 3 1,-164 -26 384
16 6 1 0,-78 178 283
16 6 1 1,-175 399 230
16 6 2 0,-119 500 198
16 6 2 1,-181 264 239
16 6 3 0,-150 197 -81
16 6 3 1,-126 164 -64
16 7 1 0,-109 153 459
16 7 1 1,-185 461 29
16 7 2 0,-118 132 78
16 7 2 1,-156 377 265
16 7 3 0,-138 153 453
16 7 3 1,-179 327 -53
16 8 1 1,-78 239 85
16 8 2 0,-131 341 582
16 8 2 1,-140 501 138
16 8 3 0,-123 195 -69
16 8 3 1,-150 188 258
16 9 1 1,-114 346 0
16 9 2 0,0 421 306
16 9 2 1,0 161 -44
16 9 3 0,-124 60 321
16 9 3 1,0 119 0
16 10 2 1,0 0 -162
16 10 3 0,0 0 236
16 10 3 1,0 0 186
18 0 1 0,-130 -182 -180
18 0 1 1,-137 -299 -330
18 1 1 0,-130 -51 -254
18 1 1 1,-188 -321 174
18 2 1 0,-130 -179 -73
18 2 1 1,-131 57 115
18 3 1 0,-130 302 -169
18 3 1 1,-134 56 325
18 4 1 0,-130 582 146
18 4 1 1,-137 452 -59
18 5 1 0,-130 268 13
18 5 1 1,-175 492 216
18 6 1 0,0 612 324
18 6 1 1,-159 139 241
18 7 1 0,-109 30 632
18 7 1 1,-170 480 129
18 8 1 0,-78 367 0
18 8 1 1,-114 306 393
18 9 1 1,0 367 0
20 0 2 0,-172 -113 -11
20 0 2 1,-215 -185 -206
20 0 3 0,-158 -220 -410
